Type,v13,v14 sweep,v14 FOBAR/SV,v14.5 v13,v14.5 gate,v15 ensemble,v15 type-specific
GSM_Rephrased,9.51269035532995,9.51269035532995,9.50253807106599,9.50253807106599,9.543147208121827,9.761421319796954,9.51269035532995
GSM_AnsAug,7.143540669856459,7.177033492822966,7.105263157894737,7.057416267942584,7.253588516746412,7.205741626794258,7.291866028708134
GSM_FOBAR,3.2049180327868854,2.9918032786885247,1.3360655737704918,3.2540983606557377,3.581967213114754,3.278688524590164,3.5
GSM_SV,4.917525773195877,4.360824742268041,2.88659793814433,4.175257731958763,3.7422680412371134,4.701030927835052,4.494845360824742
MATH_AnsAug,7.497109826589595,7.294797687861272,7.5491329479768785,7.578034682080925,7.433526011560693,7.5491329479768785,7.364161849710983
MATH_Rephrased,8.508620689655173,8.551724137931034,8.586206896551724,8.560344827586206,8.560344827586206,8.508620689655173,8.517241379310345
MATH_FOBAR,4.555555555555555,4.4222222222222225,2.688888888888889,4.4,4.444444444444445,5.177777777777778,4.622222222222222
MATH_SV,4.195121951219512,4.658536585365853,3.8048780487804876,4.195121951219512,3.2195121951219514,5.0,4.780487804878049
