Run,Type,Hybrid gain,Retrieval usage %,Hybrid score,Model score
v14 sweep,GSM_Rephrased,1.0507614213197964,98.4771573604061,9.51269035532995,8.461928934010153
v14 FOBAR/SV,GSM_Rephrased,1.6395939086294415,98.4771573604061,9.50253807106599,7.862944162436548
v14 sweep,GSM_AnsAug,2.9617224880382773,88.51674641148325,7.177033492822966,4.215311004784689
v14 FOBAR/SV,GSM_AnsAug,3.253588516746412,88.99521531100478,7.105263157894737,3.851674641148325
v14 sweep,GSM_FOBAR,0.0,0.0,2.9918032786885247,2.9918032786885247
v14 FOBAR/SV,GSM_FOBAR,-0.9344262295081969,67.21311475409836,1.3360655737704918,2.2704918032786887
v14 sweep,GSM_SV,0.0,0.0,4.360824742268041,4.360824742268041
v14 FOBAR/SV,GSM_SV,0.536082474226804,70.10309278350516,2.88659793814433,2.350515463917526
v14 sweep,MATH_AnsAug,2.913294797687861,76.30057803468208,7.294797687861272,4.381502890173411
v14 FOBAR/SV,MATH_AnsAug,3.5375722543352603,82.65895953757226,7.5491329479768785,4.011560693641618
v14 sweep,MATH_Rephrased,2.4224137931034475,90.51724137931035,8.551724137931034,6.129310344827586
v14 FOBAR/SV,MATH_Rephrased,2.2413793103448274,90.51724137931035,8.586206896551724,6.344827586206897
v14 sweep,MATH_FOBAR,0.0,0.0,4.4222222222222225,4.4222222222222225
v14 FOBAR/SV,MATH_FOBAR,-1.2666666666666666,48.888888888888886,2.688888888888889,3.9555555555555557
v14 sweep,MATH_SV,0.0,0.0,4.658536585365853,4.658536585365853
v14 FOBAR/SV,MATH_SV,-0.07317073170731714,53.65853658536585,3.8048780487804876,3.8780487804878048
